GMT-2026:05:21-09:35:27 (547731492928): START
GMT-2026:05:21-09:35:27 (547731492928): Config readed
GMT-2026:05:21-09:35:27 (547731492928): Success installed reader
GMT-2026:05:21-13:18:31 (547723096064): Request stop
GMT-2026:05:21-13:19:45 (547723096064): Request stop
GMT-2026:05:21-13:20:02 (547723096064): Request stop
GMT-2026:05:21-13:20:22 (547723096064): Request stop
GMT-2026:05:21-13:29:14 (547706310656): Request stop
GMT-2026:05:21-13:39:40 (547697917952): Request stop
GMT-2026:05:21-13:40:22 (547697917952): Request stop
GMT-2026:05:21-13:40:35 (547697917952): Request start
GMT-2026:05:21-13:40:35 (547697917952): Start read
GMT-2026:05:21-13:43:51 (547706310656): Request stop
GMT-2026:05:21-13:43:51 (547706310656): Stop read
GMT-2026:05:21-13:44:49 (547706310656): Request stop
GMT-2026:05:21-13:44:49 (547706310656): Request stop
GMT-2026:05:21-13:44:53 (547706310656): Request start
GMT-2026:05:21-13:44:53 (547706310656): Start read
GMT-2026:05:21-13:45:03 (547706310656): Request stop
GMT-2026:05:21-13:45:04 (547706310656): Stop read
GMT-2026:05:21-13:45:21 (547706310656): Request stop
GMT-2026:05:21-13:45:29 (547706310656): Request start
GMT-2026:05:21-13:45:29 (547706310656): Start read
GMT-2026:05:21-13:45:41 (547706310656): Request stop
GMT-2026:05:21-13:45:42 (547706310656): Stop read
GMT-2026:05:21-13:46:55 (547723096064): Request stop
GMT-2026:05:21-13:46:55 (547723096064): Request stop
GMT-2026:05:21-13:47:08 (547723096064): Request start
GMT-2026:05:21-13:47:08 (547723096064): Start read
GMT-2026:05:21-13:48:36 (547714703360): Request stop
GMT-2026:05:21-13:48:36 (547714703360): Stop read
GMT-2026:05:21-14:00:48 (547723096064): Request stop
GMT-2026:05:21-14:00:54 (547723096064): Request start
GMT-2026:05:21-14:00:54 (547723096064): Start read
GMT-2026:05:21-14:02:01 (547723096064): Request stop
GMT-2026:05:21-14:02:02 (547723096064): Stop read
GMT-2026:05:21-14:05:15 (547714703360): Request stop
GMT-2026:05:21-14:05:23 (547714703360): Request start
GMT-2026:05:21-14:05:23 (547714703360): Start read
GMT-2026:05:21-14:05:43 (547723096064): Request stop
GMT-2026:05:21-14:05:43 (547723096064): Stop read
GMT-2026:05:21-14:05:46 (547723096064): Request stop
GMT-2026:05:21-14:05:52 (547723096064): Request start
GMT-2026:05:21-14:05:52 (547723096064): Start read
GMT-2026:05:21-14:06:05 (547714703360): Request stop
GMT-2026:05:21-14:06:05 (547723096064): Request stop
GMT-2026:05:21-14:06:06 (547714703360): Stop read
GMT-2026:05:21-14:06:10 (547714703360): Request start
GMT-2026:05:21-14:06:11 (547714703360): Start read
GMT-2026:05:21-14:06:16 (547714703360): Request stop
GMT-2026:05:21-14:06:16 (547723096064): Request stop
GMT-2026:05:21-14:06:17 (547714703360): Stop read
GMT-2026:05:21-14:06:27 (547714703360): Request start
GMT-2026:05:21-14:06:28 (547714703360): Start read
GMT-2026:05:21-14:06:36 (547714703360): Request stop
GMT-2026:05:21-14:06:36 (547723096064): Request stop
GMT-2026:05:21-14:06:37 (547714703360): Stop read
GMT-2026:05:21-14:06:38 (547714703360): Request start
GMT-2026:05:21-14:06:38 (547714703360): Start read
GMT-2026:05:21-14:06:44 (547723096064): Request stop
GMT-2026:05:21-14:06:44 (547714703360): Request stop
GMT-2026:05:21-14:06:44 (547723096064): Stop read
GMT-2026:05:21-14:06:45 (547723096064): Request start
GMT-2026:05:21-14:06:45 (547723096064): Start read
GMT-2026:05:21-14:06:56 (547723096064): Request stop
GMT-2026:05:21-14:06:56 (547723096064): Stop read
GMT-2026:05:21-14:07:24 (547723096064): Request stop
GMT-2026:05:21-14:07:29 (547723096064): Request start
GMT-2026:05:21-14:07:30 (547723096064): Start read
GMT-2026:05:21-14:08:19 (547723096064): Request stop
GMT-2026:05:21-14:08:20 (547723096064): Stop read
GMT-2026:05:21-14:08:47 (547723096064): Request stop
GMT-2026:05:21-14:08:51 (547723096064): Request start
GMT-2026:05:21-14:08:51 (547723096064): Start read
GMT-2026:05:21-14:09:25 (547723096064): Request stop
GMT-2026:05:21-14:09:25 (547723096064): Stop read
GMT-2026:05:21-14:10:34 (547714703360): Request stop
GMT-2026:05:21-14:10:34 (547714703360): Request stop
GMT-2026:05:21-14:10:38 (547714703360): Request start
GMT-2026:05:21-14:10:38 (547714703360): Start read
GMT-2026:05:21-14:10:44 (547706310656): Request stop
GMT-2026:05:21-14:10:44 (547714703360): Request stop
GMT-2026:05:21-14:10:45 (547706310656): Stop read
GMT-2026:05:21-14:10:46 (547706310656): Request start
GMT-2026:05:21-14:10:46 (547706310656): Start read
GMT-2026:05:21-14:10:59 (547706310656): Request stop
GMT-2026:05:21-14:10:59 (547706310656): Stop read
GMT-2026:05:21-14:11:07 (547706310656): Request stop
GMT-2026:05:21-14:11:14 (547706310656): Request start
GMT-2026:05:21-14:11:14 (547706310656): Start read
GMT-2026:05:21-14:11:20 (547706310656): Request stop
GMT-2026:05:21-14:11:21 (547706310656): Stop read
GMT-2026:05:21-14:11:24 (547706310656): Request stop
GMT-2026:05:21-14:11:33 (547706310656): Request start
GMT-2026:05:21-14:11:34 (547706310656): Start read
GMT-2026:05:21-14:12:09 (547706310656): Request stop
GMT-2026:05:21-14:12:10 (547706310656): Stop read
GMT-2026:05:21-14:12:25 (547706310656): Request stop
GMT-2026:05:21-14:12:32 (547706310656): Request start
GMT-2026:05:21-14:12:32 (547706310656): Start read
GMT-2026:05:21-14:12:57 (547706310656): Request stop
GMT-2026:05:21-14:12:57 (547706310656): Stop read
GMT-2026:05:21-14:13:49 (547706310656): Request stop
GMT-2026:05:21-14:13:53 (547706310656): Request start
GMT-2026:05:21-14:13:53 (547706310656): Start read
GMT-2026:05:21-14:14:19 (547706310656): Request stop
GMT-2026:05:21-14:14:20 (547706310656): Stop read
GMT-2026:05:21-14:14:54 (547706310656): Request stop
GMT-2026:05:21-14:15:04 (547706310656): Request start
GMT-2026:05:21-14:15:04 (547706310656): Start read
GMT-2026:05:21-14:15:30 (547706310656): Request stop
GMT-2026:05:21-14:15:31 (547706310656): Stop read
GMT-2026:05:21-14:23:14 (547714703360): Request stop
